P3_DS_Arm_Mag_L,P4_DS_Arm_W,P6_DS_Arm_Th,P9_DS_Mag_H,P11_DS_Mag_W,P18_DS_Core_Gap,P19_DS_Core_R,P22_DS_Bobbin_Th,P23_DS_Coil_Th,P273_Arm_L,P69_DS_No_Turns,P60_DS_Core_Len,P61_DS_Wire_dia_mm,P62_DS_N_Len,P63_DS_N_Th,P66_DS_Capacitance,P67_DS_VCap,P190_Time_Ipeak,P191_Vcap_max,P192_Vcap_min,P193_E_per_Farad,P194_Time_1mm,P195_Time_Parting,P350_Time_1mm_Final,P351_Time_Parting_Final
8.847471654,12.88132086,1.99830754,3.094901928,2.294901928,1.55,1.772879252,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.523048498,77.89845237,155,0.00169143,0.00169118,0.00169118,302.0535336,87.60891792,370.0155787,94.61763135
8.847471654,12.88132086,1.99830754,3.094901928,3.905098072,1.55,1.772879252,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,165,0.00156029,0.001560306,0.001560306,285.225105,104.3324808,349.4007536,112.6790793
8.847471654,12.88132086,1.99830754,3.094901928,3.905098072,1.55,2.027120748,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.806951502,60.10154763,320,0.002901352,0.002900557,0.002900557,338.344793,148.0784656,414.4723715,159.9247428
8.847471654,12.88132086,1.99830754,3.094901928,3.905098072,1.55,2.027120748,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.806951502,77.89845237,185,0.00191751,0.001917078,0.001917078,274.4078986,100.1474484,336.1496758,108.1592442
8.847471654,12.88132086,1.99830754,4.705098072,2.294901928,1.55,2.027120748,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,170,0.001753457,0.001753724,0.001753724,295.7543953,91.09156035,362.2991342,98.37888518
8.847471654,12.88132086,1.99830754,4.705098072,2.294901928,1.55,1.772879252,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.806951502,60.10154763,290,0.002619751,0.002619455,0.002619455,339.2175709,121.7403542,415.5415244,131.4795825
8.847471654,12.88132086,1.99830754,4.705098072,2.294901928,1.55,1.772879252,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.806951502,77.89845237,170,0.001731506,0.001731568,0.001731568,290.6514443,87.51198796,356.0480193,94.51294699
8.847471654,12.88132086,1.99830754,4.705098072,3.905098072,1.55,2.027120748,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.523048498,60.10154763,300,0.002851862,0.002851907,0.002851907,330.1324741,149.7191101,404.4122807,161.6966389
8.847471654,12.88132086,1.99830754,4.705098072,3.905098072,1.55,1.772879252,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.806951502,77.89845237,180,0.001579316,0.001579241,0.001579241,292.9841695,110.4688116,358.9056076,119.3063165
8.847471654,12.88132086,1.99830754,4.705098072,3.905098072,1.55,2.027120748,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.523048498,77.89845237,175,0.001867552,0.001867446,0.001867446,281.2206623,105.626053,344.4953113,114.0761372
8.847471654,17.11867914,1.70169246,3.094901928,2.294901928,1.55,1.772879252,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.523048498,60.10154763,260,0.002512402,0.002512418,0.002512418,409.9853112,122.1570747,502.2320063,131.9296406
8.847471654,17.11867914,1.70169246,3.094901928,2.294901928,1.55,2.027120748,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.806951502,77.89845237,170,0.001744193,0.001743653,0.001743653,371.4771519,95.98690264,455.0595111,103.6658549
8.847471654,17.11867914,1.70169246,3.094901928,2.294901928,1.55,1.772879252,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.523048498,77.89845237,145,0.001665147,0.001664985,0.001664985,368.5278106,93.56583029,451.446568,101.0510967
8.847471654,17.11867914,1.70169246,3.094901928,3.905098072,1.55,1.772879252,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,155,0.001529228,0.001529166,0.001529166,352.2871702,109.4653495,431.5517835,118.2225774
8.847471654,17.11867914,1.70169246,3.094901928,3.905098072,1.55,2.027120748,0.4,1.732103587,8.697471654,79.83075395,6.4,0.328643549,16,5,0.806951502,60.10154763,300,0.002846048,0.002845478,0.002845478,379.7620347,141.2178854,465.2084925,152.5153162
8.847471654,17.11867914,1.70169246,3.094901928,3.905098072,1.55,2.027120748,0.4,1.650103684,8.697471654,50.16924605,6.4,0.391356451,13,4,0.806951502,77.89845237,175,0.001875906,0.001875561,0.001875561,341.6703941,105.2520278,418.5462328,113.6721901
8.847471654,17.11867914,1.70169246,4.705098072,2.294901928,1.55,2.027120748,0.4,1.38568287,8.697471654,50.16924605,6.4,0.328643549,16,4,0.523048498,77.89845237,160,0.001716499,0.001716643,0.001716643,376.1907104,98.98723521,460.8336203,106.906214
